Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
"Spring is Coming, Planning on Moving? Furnished Room for MALE",1250,"North York, ON M6A 1T1",2024-03-12 04:19:36,,,,,,,,,No,,Yes,,,,,,⭐MONTHLY / no lease – Working Professional MALE ONLY,,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/spring-is-coming-planning-on-moving-furnished-room-for-male/1687975351
"Clean, light, quiet Furnished Room MALE ONLY - NORTH YORK",1250,"North York, ON M6A 1T1",2024-03-12 04:18:06,,,,,,,,,No,,Yes,,,,,,⭐MONTHLY / no lease – Working Professional MALE ONLY,,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/clean-light-quiet-furnished-room-male-only-north-york/1687975300
900 CAD - Single Room - Student Preferred (Condo),900,"Etobicoke, ON M9B 6C4",2024-03-12 04:17:49,Condo,1,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,Month-to-month,"May 15, 2024",No,145,Yes,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, 24 Hour Security, Elevator in Building","Discover your next home in the heart of Etobicoke's most convenient neighborhood! This inviting condo offers the perfect blend of accessibility and amenities, ideal for students and young professionals alike. Positioned just a 3-minute walk from Loblaws for all your grocery needs and a 5-minute stroll to the Toronto Public Library, this location is unbeatable for those seeking convenience and community.",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/900-cad-single-room-student-preferred-condo/1687975293
Luxurious condo for rent at 955 Bay Street,2250,"Bay Street, Toronto, ON",2024-03-12 04:17:29,Condo,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,"May 1, 2024",No,339,No,Yes,Not Included,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building",Name: Britt Condo,2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxurious-condo-for-rent-at-955-bay-street/1687975281
Spacious 2+1 Bedroom Apartment for rent in Downtown Toronto,3500,"55 Mercer St, Toronto, ON M5V 3W2",2024-03-12 04:13:39,Condo,2 + Den,2,,Not Included,0,1 Year,"April 1, 2024",No,700,No,Yes,Not Included,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Elevator in Building","**Seeking Two Female Roommates for Prime Downtown Toronto Apartment**
I am currently looking for two female working professionals or students to share a spacious 2-bedroom +1 Den apartment in the heart of Toronto's Entertainment and Theatre District, located at the intersection of Blue Jays Way & King St W. This is a unique opportunity for those who appreciate modern living in a vibrant urban setting.
**Apartment Features:**
- **Location:** Situated on the 6th floor, the apartment offers beautiful south-facing views and is flooded with natural light.
- **Bedrooms:** Two well-appointed bedrooms, each offering privacy and comfort.
- **Bathrooms:** Includes two full bathrooms, ensuring convenience for all residents.
- **Kitchen & Living Area:** An open-concept layout with a fully equipped kitchen featuring high-end built-in appliances, leading into a spacious living and dining area.
- **Amenities:** The building boasts a range of luxury amenities including 24/7 concierge, a fully equipped gym, co-working space, outdoor BBQ area, and more.
**Neighborhood Highlights:**
- **Convenience:** Steps away from public transportation, Rogers Centre, Scotiabank Arena, various theatres, banks, shops, bars, and restaurants.
- **Lifestyle:** Located in a lively area known for its entertainment options, offering easy access to Toronto's best cultural and social scenes.
**Lease Details:**
- **Availability:** Immediate, with flexible viewing times available upon request. 1 year lease agreement at least.
- **Requirements:** Ideal candidates will be non-smokers and ready to provide documentation such as a credit report, employment verification, and references. A $300 key deposit is required upon signing.
**Interested?**
For more information or to arrange a viewing, please contact Rida at rida.zahraslam@gmail.com. Alternatively, feel free to direct message your phone number, and I will reach out to you.
This is a fantastic opportunity for those looking to enjoy downtown Toronto living with all the comforts and conveniences of a modern home. Looking forward to finding the perfect roommates to share this amazing space with!",3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-2-1-bedroom-apartment-for-rent-in-downtown-toronto/1687975142
Private room in basement for rent,650,"1442 Danforth Rd, Scarborough, ON M1J 1G9",2024-03-12 04:13:15,,,,,,,,,No,,No,,,,,,"Private single bedroom in basement for rent,sharing kitchen and bathroom, it will be available from first of April,looking for nitand clean,communication respect with love to other tenants,quite a Male professional working people or international students it is located near the Scarborough general hospital steps way from TTC Bus stop, 10 minutes from STC by # 16 bus 10 minutes from warden subway station and Kennedy subway station, near public library, grocery store with many others there’s No alcohol,no smoking in the property area. If you’re interested please contact 16478782797.",6 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-in-basement-for-rent/1687975129
ROOM FOR RENT (MASTER BEDROOM WITH PRIVATE WASHROOM 2ND FLOOR ),,"Scarborough, ON M1P 1S4",2024-03-12 04:12:00,,,,,,,,,No,,No,,,,,,Description,5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-master-bedroom-with-private-washroom-2nd-floor/1687974949
Scarborough 2+den condo for rent,2900,"275 Village Green Square, Scarborough, ON",2024-03-12 04:11:58,Condo,2 + Den,2,"Hydro_No,Heat_No,Water_Yes",Internet,1,1 Year,"April 1, 2024",No,827,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Beautiful Newer Luxury Tridel Condo! Large Corner Unit W 2 Beds And 2 Full Baths Plus Den! Spacious And Open Concept Layout With Modern Design. Large Den And Laminate Floors Throughout. Mins To 401&404, Close To Malls, Public Transit, Banks And Shopping. All Stainless Steel Kitchen Appliances - Oven, Fridge , Cook Top And Dishwasher. Washer / Dryer, All Electric Light Fixtures, 1 Underground Parking Space with EV charging plug available And Locker Included. The Abundance Of Amenities Includes Fitness Room, Party Room, Theatre, And Guest Suites. It Also Features A 24-Hour Concierge And Security For Your Peace Of Mind.",3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-2-den-condo-for-rent/1687975082
Basement Room for Rent,,"Scarborough, ON M1B 6J4",2024-03-12 04:10:33,,,,,,,,,,,Yes,,,,,,"- Available April 1st.
- $700 for room or $400 per person for 2 people
- All utilities included: Wifi, Laundry, Water, Hydro.
- Close to grocery stores.
- 2 minute walk to TTC bus stops offering 24/7 service.
- Please call: 647-637-2312",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-for-rent/1687975022
Furnished 1 Bedroom Basement Suite,1799,"Scarborough, ON M1P 1X2",2024-03-12 04:06:58,Basement,1,1,,Internet,1,1 Year,"April 1, 2024",No,650,Yes,Yes,Not Included,No,Laundry (In Building),,Ideal for 1 to 2 people. Looking for a Student or Working Professional for a Brand New 1 Bedroom Furnished Basement Suite,3 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-1-bedroom-basement-suite/1687974864
Basement room for male student by Indian family,800,"Scarborough, ON M1H 1S2",2024-03-12 04:06:57,,,,,,,,,No,,Yes,,,,,,"Near Centennial college
TTC accessible
Wifi available
Utilities included in the rent
Shared kitchen and washrooms",5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-for-male-student-by-indian-family/1687974863
Flex Room in Prime Downtown Location Available Now!,1380,"Selby Street, Toronto, ON",2024-03-12 04:06:06,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Flex Room in Prime Downtown Location Available Now! ✨,5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/flex-room-in-prime-downtown-location-available-now/1687974824
Deluxe Room in Prime Downtown Location Available Now!,1480,"Selby Street, Toronto, ON",2024-03-12 04:03:08,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Deluxe Room in Prime Downtown Location Available Now! ✨,5 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/deluxe-room-in-prime-downtown-location-available-now/1687974728
"Furnished Room @ Toronto downtown east, flexible contract",950,"Toronto, ON M4M",2024-03-12 03:59:06,,,,,,,,,No,,Yes,,,,,,Furnished room @ Gerrard & Broadview available Mar 1,8 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-toronto-downtown-east-flexible-contract/1687974557
Rent a room to a student for 4 months +meal plan in downtown,1471,"Toronto, ON M5B 2G3",2024-03-12 03:57:36,,,,,,,,,No,,Yes,,,,,,"This rent will start from May 1, 2024 till September 1,2024. You should be a student in order to move in. This residence is located right in downtown, where all the colleges and universities are located. Walking distance to University of Toronto, Toronto Metropolitan University, George Brown College, and OCAD.
Rent includes all utilities, Wi-Fi, 24-hour security and maintenance.
Additional mandatory meal plan includes 3 quality meals per day at an unlimited buffet.(Hot food, Bakery, Starbucks coffee machines beside a fridge (various coffee creamers + milk options to choose from !)) and so much more !
The residence organizes different events almost every day.
The amenities include:
Gym
Study Room
24hr convenience store
Terrance
Game room
Theatre and many more!
The original price from the landlord for these 4 months (May, June, July, August) was $cad9604, but I am offering you 20% off the whole price, so the total price for the whole period will be $cad7683!
DM to secure a spot for summer 2024 !",5 visits,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/rent-a-room-to-a-student-for-4-months-meal-plan-in-downtown/1687974503
Room by York Uni the Village available to Post Secondary Student,650,"North York, ON M3J 3S2",2024-03-12 03:56:43,,,,,,,,,No,,Yes,,,,,,"Basement Room available for post secondary student by York University the Village $650/month. No pets, no alcohol, no smoking. Basic utilities included. Shared washroom between one other student and shared kitchen between 4 students.",6 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-by-york-uni-the-village-available-to-post-secondary-student/1687974469
PRIVATE Furnished MAIN floor room near STC for female @ $749/-,749,"Scarborough, ON M1S 2S7",2024-03-12 03:56:08,,,,,,,,,No,,Yes,,,,,,"- Private (single female occupancy) , Furnished room (all utils incl Hi speed WiFi)
- Location: Near STC - Sheppard / McCowan, Brimley/ Sheppard
5 minutes to bus stop. 3 minutes bus ride to STC , 15 minutes to Centennial , 30 minutes to Seneca, 40 Minutes to downtown",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-furnished-main-floor-room-near-stc-for-female-749/1687974450
Sheppard–Don Mills (Fairview Mall) 1-bedroom Emerald City Condo,2500,"70 Forest Manor Road, North York, ON",2024-03-12 03:54:20,Condo,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,1,1 Year,"April 1, 2024",No,600,No,Yes,Balcony,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building",Condominium for Rent,4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/sheppard-don-mills-fairview-mall-1-bedroom-emerald-city-condo/1687974377
Room Available for Rent $500,500,"Markham Rd, Scarborough, ON, M1M2G4",2024-03-12 03:53:43,,,,,,,,,,,Yes,,,,,,"Looking for Two Males to rent One Bedroom. $500 each plus utilities. Kitchen & Bathroom are shared with two other male roommates that live in a separate bedroom. Washing machines/ Dryer included. Half Basement. Located in Scarborough, ON. 8 min walk from Walmart. 8 min walk to the bus stop. 8 min walk to Eglinton Go Station. Message if interested!",2 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-available-for-rent-500/1687974349
Basement,2499,"Poyntz Avenue, North York, ON",2024-03-12 03:53:37,Basement,2,1,,Not Included,1,1 Year,"April 1, 2024",Limited,"1,000",No,Yes,Yard,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Luxury Newly Renovated Basement In Prime Location! Steps To Yonge & Sheppard .
Freshly Renovated Basement Is Ready To Be Enjoyed! It Comes With :
-2 Bedroom
-Brand New Kitchen & Appliances (fridge and stove )
- New Flooring
- Beautiful Renovated Washroom & Toilet!
- Great Size Open Concept Living & Dining Room
- One Parking Spots Included (1 outside right side)
- Ensuite Washer & Dryer And So Much More!
- Basement Has A Separate Entrance And A Lock Will Be Installed Between The Connecting Stairs.
- Basement Level Pays 1/3 Of All Utilities.
- Located Next To Everything You Need Like Grocery Store, Hospital, Park, School And More! Don't Miss This One! Come And Check It Out!",4 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement/1687974345
Female only Furnished room @ East Downtown,980,"Toronto, ON M4M",2024-03-12 03:53:22,,,,,,,,,No,,Yes,,,,,,"The room is for one tenant(female) only, no pets, no smoking/vaping
The unit is very clean and spacious.
Flexible contract terms.",2 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/female-only-furnished-room-east-downtown/1687974336
All Inclusive Bright Bedroom in Condominium,850,"North York, ON M3N",2024-03-12 03:47:46,,,,,,,,,No,,Yes,,,,,,"Large, Bright Private Room Available for Rent in Condominium.
Open Concept, Spacious Apartment, Plenty of Storage Space, Large Windows!
All Utilities Included (Heat, Hydro, Water) + Cable TV + WI-FI Internet + Laundry (Washer & Dryer)
Quiet building at the end of cul-de-sac surrounded by beautiful park with wooded nature trail. View from Condo onto Park.
Fantastic Amenities: Swimming Pool, Gym, Sauna, Locker Available, Visitor Parking, Security System and more.
Two 24/7 TTC Bus Stops. Both direct routes to Sheppard West Subway Station, Finch West and Finch Subway Station. Four minute walk to 108 bus - direct to Sheppard West Subway Station about 10-15 minutes ride. Within few minute walk to Finch Ave., 36 bus – direct to Finch West Subway Station 5-7-minutes ride or Finch Subway Station.
Five Minute walk from Plaza's, Malls, Grocery Stores, Banks, Restaurants, Cafe's, and More!",4 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/all-inclusive-bright-bedroom-in-condominium/1687974124
Parking spot for rent in downtown Toronto,100,"Toronto, ON M5A 1W1",2024-03-12 03:46:15,,,,,,,,,,,,,,,,,Outdoor parking spot for rent in downtown Toronto . One km on east from Eaton center . for more info please contact to me 416 8308970,3 visits,https://www.kijiji.ca/v-storage-parking/city-of-toronto/parking-spot-for-rent-in-downtown-toronto/1687974058
25 Richmond St East - YONGE+RICH  1-bedroom + 1 Den Luxury Condo,2500,"25 Richmond Street East, Toronto, ON",2024-03-12 03:45:40,Condo,1 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"March 16, 2024",No,628,No,Yes,Not Included,Outdoors only,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building",Condominium for Rent,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/25-richmond-st-east-yonge-rich-1-bedroom-1-den-luxury-condo/1687974036
4 Bed & 3Bath,4500,"Poyntz Avenue, North York, ON",2024-03-12 03:45:21,House,4,3,,Not Included,2,1 Year,"May 1, 2024",Limited,"2,000",No,Yes,Yard,Outdoors only,"Laundry (In Unit), Fridge / Freezer",,"Prime Location!
Steps To Public Transit (TTC), Short Walk To Yonge & Sheppard Subway Station (10 Minutes Walk), Easy Access to Hwy 401, Great Family Neighbourhood, Close To Shops, Banks, Food Basics, L.C.B.O, Parks, Schools & And So Much More!
Entire 2 Storey Detached House on A Quite Street.
- 4 Bedrooms And 3 Bathrooms.
- Master Bedroom With A Huge Walk In Closet and Bathroom Ensuite.
- New Laminate Flooring.
- New Toilets
- Walk-out to Large Deck And Private Backyard.
- Private Driveway for 2 Vehicles.
(Basement is rented separately)",2 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/4-bed-3bath/1687974028
One bedroom basement apartment for rent richmondhill,1850,"North York, ON M2N 0C1",2024-03-12 03:43:02,Basement,1,1,,Not Included,1,1 Year,"March 11, 2024",No,950,No,Yes,Not Included,No,"Laundry (In Building), Dishwasher, Fridge / Freezer",,"One bedroom basement apartment separate entrance for rent, very clean, hardwood floor, dush washer , lundry, heating cooling system, close to shopping centre, walmart , costco , close to high rank school bayview secondary, bus top , family oriented, utility 40%",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-apartment-for-rent-richmondhill/1687973934
Master Room with Private washroom in Prime Downtown Location,1680,"York Street, Toronto, ON",2024-03-12 03:41:02,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Master Room with Private washroom in Prime Downtown Location Available Now! ✨,8 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-room-with-private-washroom-in-prime-downtown-location/1687973859
YORK UNIVERSITY VILLAGE Premier Student Resident Room - Male,760,"North York, ON M3J 0C4",2024-03-12 03:40:47,,,,,,,,,No,,Yes,,,,,,"YORK UNIVERSITY VILLAGE Premier Student Resident Room
Available May 1st for $760 per month.
Shared bathroom with one person – Male preferred due to shared washroom.
York University, Schulich, Seneca Ryerson and UofT students
Single occupancy only.
All-inclusive rent: Furnished, Premium high-speed internet & Wi-Fi, laundry, electricity, water, heating and housekeeping included.
Appliances Includes: Stove, refrigerator and microwave.
Hard wood floor, Clean, Quiet, Bright rooms with big windows.
Cleaned by housekeeper, garbage removed regularly and well maintained.
Spacious back yard deck and rooftop sundeck with campus views.
Sheltered Bicycle parking rack.
No pets, no smoking, no partying. No parking.
Transport: Easy access to subway and buses!!!
REQUIRED:
1, First & last month rent
2, Student ID or confirmation letter
3. Two Photo IDs
CONTACT:
Please email or text with following information:
1) Provide your full name
2) How long you intend to rent for
3) Expected move in date
4) Why are you moving?
5) For quick response and initial phone interview provide PHONE NUMBER to call or text.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-village-premier-student-resident-room-male/1687973852
"2nd Floor: 2 Bedrooms, 1 Bathroom",2500,"King St W, Toronto, ON, M6K1H6",2024-03-12 03:37:54,Apartment,2,1,,Not Included,1,1 Year,"March 12, 2024",Limited,800,Yes,Yes,Not Included,Outdoors only,,,"2nd floor: Bright Open Updated Kitchen with Bedroom, 1 Bathroom, Full 3 Piece Bath,
Everything is included in the rentals except for internet.",5 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2nd-floor:-2-bedrooms-1-bathroom/1687973743
Amazing Suite available!!! 2 BD Available for January 2024,,"2777 Kipling Avenue, Etobicoke, ON, M9V 4M2",2024-03-12 03:36:45,Apartment,2 + Den,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,"January 1, 2024",Yes,Not Available,No,No,Balcony,Outdoors only,"Laundry (In Building), Dishwasher, Fridge / Freezer","24 Hour Security, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/amazing-suite-available-2-bd-available-for-january-2024/1505792263
Deluxe Room in Prime Midtown Location Available Now!,1200,"Walmer Road, Toronto, ON",2024-03-12 03:34:47,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Deluxe Room in Prime Midtown Location Available Now! ✨,9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/deluxe-room-in-prime-midtown-location-available-now/1687973602
"Basement: 2 Bedrooms, 1 Bathroom",2200,"King St W, Toronto, ON, M6K1H6",2024-03-12 03:33:29,Apartment,2,1,,Not Included,1,1 Year,"March 11, 2024",Limited,800,Yes,Yes,Not Included,Outdoors only,,,"Basement: Bright Open Updated Kitchen with Bedroom, 1 Bathroom, Full 3 Piece Bath,
Everything is included in the rentals except for internet.",6 visits,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement:-2-bedrooms-1-bathroom/1687973554
Premium Deluxe Room in Prime Downtown Location Available Now!,1100,"Redpath Avenue, Toronto, ON",2024-03-12 03:31:30,,,,,,,,,No,,Yes,,,,,,Looking for a Roommate: Premium Deluxe Room in Prime Downtown Location Available Now! ✨,9 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/premium-deluxe-room-in-prime-downtown-location-available-now/1687973475
Student Resident Room - YORK UNIVERSITY,990,"North York, ON M3J 0C4",2024-03-12 03:31:09,,,,,,,,,No,,Yes,,,,,,"Available from May 1st on one year lease for $990 per month.
Spacious and bright unit on the main floor.
Private ensuite Bathroom.
York University, Schulich or Seneca students
Single occupancy only.",,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/student-resident-room-york-university/1687973458
ROOM-SINGLE OCCUPANT AVAILABLE APRIL 1,,"North York, ON M9M 2N7",2024-03-01 14:39:12,,,,,,,,,No,,Yes,,,,,,"Room Available April 1 2024, ideal for student or single professional, closed to bus stop, walking distance to plaza, Near Weston Road and Sheppard Ave West. Rent includes all utilities, laundry on site, shared kitchen and washroom. Pls call (647)218-9956",332 visits,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-single-occupant-available-april-1/1686951564
Forest Hill Residences - 1 Bedroom Apartment for Rent,2000,"780 Eglinton Avenue West, Toronto, ON, M5N 1E9",2024-03-08 05:49:57,Apartment,1,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,1 Year,,Yes,500,No,No,Balcony,No,Laundry (In Building),Storage Space,Utilities Included,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/forest-hill-residences-1-bedroom-apartment-for-rent/1682907878
